X,Y,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID,ELEVATION,CLASS,SYNTHETIC,KEY_POINT,WITHHELD,OVERLAP,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,SOURCE_ID
591463.000,2871197.500,-56.053,0 (Created; never classified),,,,,,,1,1,,0,-56.053,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871197.500,-56.076,0 (Created; never classified),,,,,,,1,1,,0,-56.076,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871197.500,-56.081,0 (Created; never classified),,,,,,,1,1,,0,-56.081,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871197.500,-56.081,0 (Created; never classified),,,,,,,1,1,,0,-56.081,0 (Created; never classified),,,,,,,1,1,,0
591465.000,2871197.500,-56.092,0 (Created; never classified),,,,,,,1,1,,0,-56.092,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871198.000,-55.908,0 (Created; never classified),,,,,,,1,1,,0,-55.908,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871198.000,-55.952,0 (Created; never classified),,,,,,,1,1,,0,-55.952,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871198.000,-55.978,0 (Created; never classified),,,,,,,1,1,,0,-55.978,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871198.000,-56.008,0 (Created; never classified),,,,,,,1,1,,0,-56.008,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871198.000,-56.03,0 (Created; never classified),,,,,,,1,1,,0,-56.03,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871198.000,-56.061,0 (Created; never classified),,,,,,,1,1,,0,-56.061,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871198.000,-56.072,0 (Created; never classified),,,,,,,1,1,,0,-56.072,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871198.000,-56.075,0 (Created; never classified),,,,,,,1,1,,0,-56.075,0 (Created; never classified),,,,,,,1,1,,0
591465.000,2871198.000,-56.082,0 (Created; never classified),,,,,,,1,1,,0,-56.082,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871198.500,-55.903,0 (Created; never classified),,,,,,,1,1,,0,-55.903,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871198.500,-55.938,0 (Created; never classified),,,,,,,1,1,,0,-55.938,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871198.500,-55.975,0 (Created; never classified),,,,,,,1,1,,0,-55.975,0 (Created; never classified),,,,,,,1,1,,0
591462.500,2871198.500,-55.998,0 (Created; never classified),,,,,,,1,1,,0,-55.998,0 (Created; never classified),,,,,,,1,1,,0
591463.000,2871198.500,-56.018,0 (Created; never classified),,,,,,,1,1,,0,-56.018,0 (Created; never classified),,,,,,,1,1,,0
591463.500,2871198.500,-56.048,0 (Created; never classified),,,,,,,1,1,,0,-56.048,0 (Created; never classified),,,,,,,1,1,,0
591464.000,2871198.500,-56.064,0 (Created; never classified),,,,,,,1,1,,0,-56.064,0 (Created; never classified),,,,,,,1,1,,0
591464.500,2871198.500,-56.07,0 (Created; never classified),,,,,,,1,1,,0,-56.07,0 (Created; never classified),,,,,,,1,1,,0
591461.000,2871199.000,-55.901,0 (Created; never classified),,,,,,,1,1,,0,-55.901,0 (Created; never classified),,,,,,,1,1,,0
591461.500,2871199.000,-55.931,0 (Created; never classified),,,,,,,1,1,,0,-55.931,0 (Created; never classified),,,,,,,1,1,,0
591462.000,2871199.000,-55.965,0 (Created; never classified),,,,,,,1,1,,0,-55.965,0 (Created; never classified),,,,,,,1,1,,0
